room,type,date,time,value
Servertelpa,co2,01/17/2020,10:45:29 AM,400
Servertelpa,co2,01/17/2020,10:30:29 AM,427
Servertelpa,co2,01/17/2020,10:15:29 AM,420
Servertelpa,co2,01/17/2020,10:00:29 AM,420
Servertelpa,co2,01/17/2020,09:45:29 AM,419
Servertelpa,co2,01/17/2020,09:30:29 AM,417
Servertelpa,co2,01/17/2020,09:15:29 AM,404
Servertelpa,co2,01/17/2020,09:00:29 AM,412
Servertelpa,co2,01/17/2020,08:45:29 AM,412
Servertelpa,co2,01/17/2020,08:30:29 AM,412
Servertelpa,co2,01/17/2020,08:15:29 AM,415
Servertelpa,co2,01/17/2020,08:00:29 AM,397
Servertelpa,co2,01/17/2020,07:45:29 AM,424
Servertelpa,co2,01/17/2020,07:30:29 AM,408
Servertelpa,co2,01/17/2020,07:15:29 AM,407
Servertelpa,co2,01/17/2020,07:00:29 AM,399
Servertelpa,co2,01/17/2020,06:45:29 AM,406
Servertelpa,co2,01/17/2020,06:30:29 AM,399
Servertelpa,co2,01/17/2020,06:15:29 AM,418
Servertelpa,co2,01/17/2020,06:00:29 AM,400
Servertelpa,co2,01/17/2020,05:45:29 AM,417
Servertelpa,co2,01/17/2020,05:30:29 AM,422
Servertelpa,co2,01/17/2020,05:15:29 AM,409
Servertelpa,co2,01/17/2020,05:00:29 AM,408
Servertelpa,co2,01/17/2020,04:45:29 AM,415
Servertelpa,co2,01/17/2020,04:30:29 AM,414
Servertelpa,co2,01/17/2020,04:15:29 AM,412
Servertelpa,co2,01/17/2020,04:00:29 AM,416
Servertelpa,co2,01/17/2020,03:45:29 AM,411
Servertelpa,co2,01/17/2020,03:30:29 AM,412
Servertelpa,co2,01/17/2020,03:15:29 AM,418
Servertelpa,co2,01/17/2020,03:00:29 AM,431
Servertelpa,co2,01/17/2020,02:45:29 AM,410
Servertelpa,co2,01/17/2020,02:30:29 AM,424
Servertelpa,co2,01/17/2020,02:15:29 AM,415
Servertelpa,co2,01/17/2020,02:00:29 AM,421
Servertelpa,co2,01/17/2020,01:45:29 AM,420
Servertelpa,co2,01/17/2020,01:30:30 AM,418
Servertelpa,co2,01/17/2020,01:15:30 AM,422
Servertelpa,co2,01/17/2020,01:00:30 AM,424
Servertelpa,co2,01/17/2020,12:45:30 AM,429
Servertelpa,co2,01/17/2020,12:30:30 AM,427
Servertelpa,co2,01/17/2020,12:15:30 AM,436
Servertelpa,co2,01/17/2020,12:00:30 AM,427
Servertelpa,co2,01/16/2020,11:45:30 PM,417
Servertelpa,co2,01/16/2020,11:30:30 PM,418
Servertelpa,co2,01/16/2020,11:15:30 PM,436
Servertelpa,co2,01/16/2020,11:00:30 PM,433
Servertelpa,co2,01/16/2020,10:45:30 PM,431
Servertelpa,co2,01/16/2020,10:30:30 PM,430
Servertelpa,co2,01/16/2020,10:15:30 PM,434
Servertelpa,co2,01/16/2020,10:00:30 PM,430
Servertelpa,co2,01/16/2020,09:45:30 PM,439
