id,room,type,date,time,value
1,Servertelpa,co2,01/17/2020,10:45:29 AM,400
2,Servertelpa,co2,01/17/2020,10:30:29 AM,427
3,Servertelpa,co2,01/17/2020,10:15:29 AM,420
4,Servertelpa,co2,01/17/2020,10:00:29 AM,420
5,Servertelpa,co2,01/17/2020,09:45:29 AM,419
6,Servertelpa,co2,01/17/2020,09:30:29 AM,417
7,Servertelpa,co2,01/17/2020,09:15:29 AM,404
8,Servertelpa,co2,01/17/2020,09:00:29 AM,412
9,Servertelpa,co2,01/17/2020,08:45:29 AM,412
10,Servertelpa,co2,01/17/2020,08:30:29 AM,412
11,Servertelpa,co2,01/17/2020,08:15:29 AM,415
12,Servertelpa,co2,01/17/2020,08:00:29 AM,397
13,Servertelpa,co2,01/17/2020,07:45:29 AM,424
14,Servertelpa,co2,01/17/2020,07:30:29 AM,408
15,Servertelpa,co2,01/17/2020,07:15:29 AM,407
16,Servertelpa,co2,01/17/2020,07:00:29 AM,399
17,Servertelpa,co2,01/17/2020,06:45:29 AM,406
18,Servertelpa,co2,01/17/2020,06:30:29 AM,399
19,Servertelpa,co2,01/17/2020,06:15:29 AM,418
20,Servertelpa,co2,01/17/2020,06:00:29 AM,400
21,Servertelpa,co2,01/17/2020,05:45:29 AM,417
22,Servertelpa,co2,01/17/2020,05:30:29 AM,422
23,Servertelpa,co2,01/17/2020,05:15:29 AM,409
24,Servertelpa,co2,01/17/2020,05:00:29 AM,408
25,Servertelpa,co2,01/17/2020,04:45:29 AM,415
26,Servertelpa,co2,01/17/2020,04:30:29 AM,414
27,Servertelpa,co2,01/17/2020,04:15:29 AM,412
28,Servertelpa,co2,01/17/2020,04:00:29 AM,416
29,Servertelpa,co2,01/17/2020,03:45:29 AM,411
30,Servertelpa,co2,01/17/2020,03:30:29 AM,412
31,Servertelpa,co2,01/17/2020,03:15:29 AM,418
32,Servertelpa,co2,01/17/2020,03:00:29 AM,431
33,Servertelpa,co2,01/17/2020,02:45:29 AM,410
34,Servertelpa,co2,01/17/2020,02:30:29 AM,424
35,Servertelpa,co2,01/17/2020,02:15:29 AM,415
36,Servertelpa,co2,01/17/2020,02:00:29 AM,421
37,Servertelpa,co2,01/17/2020,01:45:29 AM,420
38,Servertelpa,co2,01/17/2020,01:30:30 AM,418
39,Servertelpa,co2,01/17/2020,01:15:30 AM,422
40,Servertelpa,co2,01/17/2020,01:00:30 AM,424
41,Servertelpa,co2,01/17/2020,12:45:30 AM,429
42,Servertelpa,co2,01/17/2020,12:30:30 AM,427
43,Servertelpa,co2,01/17/2020,12:15:30 AM,436
44,Servertelpa,co2,01/17/2020,12:00:30 AM,427
45,Servertelpa,co2,01/16/2020,11:45:30 PM,417
46,Servertelpa,co2,01/16/2020,11:30:30 PM,418
47,Servertelpa,co2,01/16/2020,11:15:30 PM,436
48,Servertelpa,co2,01/16/2020,11:00:30 PM,433
49,Servertelpa,co2,01/16/2020,10:45:30 PM,431
50,Servertelpa,co2,01/16/2020,10:30:30 PM,430
51,Servertelpa,co2,01/16/2020,10:15:30 PM,434
52,Servertelpa,co2,01/16/2020,10:00:30 PM,430
53,Servertelpa,co2,01/16/2020,09:45:30 PM,439
54,Servertelpa,co2,01/16/2020,09:30:30 PM,437
55,Servertelpa,co2,01/16/2020,09:15:30 PM,455
56,Servertelpa,co2,01/16/2020,09:00:30 PM,437
57,Servertelpa,co2,01/16/2020,08:45:30 PM,458
58,Servertelpa,co2,01/16/2020,08:30:30 PM,439
59,Servertelpa,co2,01/16/2020,08:15:30 PM,440
60,Servertelpa,co2,01/16/2020,08:00:30 PM,441
61,Servertelpa,co2,01/16/2020,07:45:30 PM,427
62,Servertelpa,co2,01/16/2020,07:30:30 PM,452
63,Servertelpa,co2,01/16/2020,07:15:30 PM,437
64,Servertelpa,co2,01/16/2020,07:00:30 PM,436
65,Servertelpa,co2,01/16/2020,06:45:30 PM,440
66,Servertelpa,co2,01/16/2020,06:30:30 PM,443
67,Servertelpa,co2,01/16/2020,06:15:30 PM,455
68,Servertelpa,co2,01/16/2020,06:00:30 PM,434
69,Servertelpa,co2,01/16/2020,05:45:30 PM,440
70,Servertelpa,co2,01/16/2020,05:30:30 PM,456
71,Servertelpa,co2,01/16/2020,05:15:30 PM,431
72,Servertelpa,co2,01/16/2020,05:00:30 PM,439
73,Servertelpa,co2,01/16/2020,04:45:30 PM,447
74,Servertelpa,co2,01/16/2020,04:30:30 PM,450
75,Servertelpa,co2,01/16/2020,04:15:30 PM,430
76,Servertelpa,co2,01/16/2020,04:00:30 PM,439
77,Servertelpa,co2,01/16/2020,03:45:31 PM,442
78,Servertelpa,co2,01/16/2020,03:30:31 PM,434
79,Servertelpa,co2,01/16/2020,03:15:31 PM,441
80,Servertelpa,co2,01/16/2020,03:00:31 PM,440
81,Servertelpa,co2,01/16/2020,02:45:31 PM,442
82,Servertelpa,co2,01/16/2020,02:30:31 PM,433
83,Servertelpa,co2,01/16/2020,02:15:31 PM,442
84,Servertelpa,co2,01/16/2020,02:00:31 PM,427
85,Servertelpa,co2,01/16/2020,01:45:31 PM,441
86,Servertelpa,co2,01/16/2020,01:30:31 PM,425
87,Servertelpa,co2,01/16/2020,01:15:31 PM,429
88,Servertelpa,co2,01/16/2020,01:00:31 PM,437
89,Servertelpa,co2,01/16/2020,12:45:31 PM,422
90,Servertelpa,co2,01/16/2020,12:30:31 PM,431
91,Servertelpa,co2,01/16/2020,12:15:31 PM,415
92,Servertelpa,co2,01/16/2020,12:00:31 PM,426
93,Servertelpa,co2,01/16/2020,11:15:31 AM,420
94,Servertelpa,co2,01/16/2020,11:00:31 AM,428
95,Servertelpa,co2,01/16/2020,10:45:31 AM,426
96,Servertelpa,co2,01/16/2020,10:30:31 AM,421
97,Servertelpa,co2,01/16/2020,10:15:31 AM,419
98,Servertelpa,co2,01/16/2020,10:00:31 AM,405
99,Servertelpa,co2,01/16/2020,09:30:31 AM,418
100,Servertelpa,co2,01/16/2020,09:15:31 AM,407
101,Servertelpa,co2,01/16/2020,09:00:31 AM,420
102,Servertelpa,co2,01/16/2020,08:45:31 AM,419
103,Servertelpa,co2,01/16/2020,08:30:31 AM,407
104,Servertelpa,co2,01/16/2020,08:15:31 AM,420
105,Servertelpa,co2,01/16/2020,08:00:31 AM,426
106,Servertelpa,co2,01/16/2020,07:45:31 AM,431
107,Servertelpa,co2,01/16/2020,07:30:31 AM,418
108,Servertelpa,co2,01/16/2020,07:15:31 AM,397
109,Servertelpa,co2,01/16/2020,07:00:31 AM,398
110,Servertelpa,co2,01/16/2020,06:45:31 AM,413
111,Servertelpa,co2,01/16/2020,06:30:31 AM,429
112,Servertelpa,co2,01/16/2020,06:15:31 AM,407
113,Servertelpa,co2,01/16/2020,06:00:32 AM,410
114,Servertelpa,co2,01/16/2020,05:45:32 AM,423
115,Servertelpa,co2,01/16/2020,05:30:32 AM,420
116,Servertelpa,co2,01/16/2020,05:15:32 AM,439
117,Servertelpa,co2,01/16/2020,05:00:32 AM,430
118,Servertelpa,co2,01/16/2020,04:45:32 AM,439
119,Servertelpa,co2,01/16/2020,04:30:32 AM,423
120,Servertelpa,co2,01/16/2020,04:15:32 AM,434
121,Servertelpa,co2,01/16/2020,04:00:32 AM,419
122,Servertelpa,co2,01/16/2020,03:45:32 AM,423
123,Servertelpa,co2,01/16/2020,03:30:32 AM,412
124,Servertelpa,co2,01/16/2020,03:15:32 AM,423
125,Servertelpa,co2,01/16/2020,03:00:32 AM,418
126,Servertelpa,co2,01/16/2020,02:45:32 AM,419
127,Servertelpa,co2,01/16/2020,02:30:32 AM,431
128,Servertelpa,co2,01/16/2020,02:15:32 AM,429
129,Servertelpa,co2,01/16/2020,02:00:32 AM,442
130,Servertelpa,co2,01/16/2020,01:45:32 AM,411
131,Servertelpa,co2,01/16/2020,01:30:32 AM,431
132,Servertelpa,co2,01/16/2020,01:00:32 AM,441
133,Servertelpa,co2,01/16/2020,12:45:32 AM,428
134,Servertelpa,co2,01/16/2020,12:30:32 AM,438
135,Servertelpa,co2,01/16/2020,12:15:32 AM,431
136,Servertelpa,co2,01/16/2020,12:00:32 AM,441
137,Servertelpa,co2,01/15/2020,11:45:32 PM,436
138,Servertelpa,co2,01/15/2020,11:30:32 PM,440
139,Servertelpa,co2,01/15/2020,11:15:32 PM,434
140,Servertelpa,co2,01/15/2020,11:00:32 PM,468
141,Servertelpa,co2,01/15/2020,10:45:32 PM,453
142,Servertelpa,co2,01/15/2020,10:30:32 PM,446
143,Servertelpa,co2,01/15/2020,10:15:32 PM,447
144,Servertelpa,co2,01/15/2020,10:00:32 PM,485
145,Servertelpa,co2,01/15/2020,09:45:32 PM,447
